text,source,label,outlier_probability,outlier_prediction,anomaly_score,anomaly_prediction,needs_review
work please,clinc150_oos_validation,1,0.9962877207511853,1,0.009172415794555244,1,True
long im e,clinc150_oos_validation,1,0.9960308179887493,1,0.010182142395195048,1,True
tell made please,clinc150_oos_test,1,0.9952041305149557,1,0.008972695400243869,1,True
tell know pay chase bill,clinc150_oos_validation,1,0.9951751401060783,1,0.010182142395195048,1,True
please tell subject like,clinc150_oos_test,1,0.9949945196100364,1,0.010182142395195048,1,True
im lost tell,clinc150_oos_train,1,0.9948682994144913,1,0.010182142395195048,1,True
please unlock bank account,clinc150_oos_train,1,0.9946978427420707,1,0.008975117175171687,1,True
would like know electric bill date need payed,clinc150_oos_train,1,0.9944924505584805,1,0.008475619175142779,1,True
im,clinc150_oos_train,1,0.9944636780658597,1,0.010182142395195048,1,True
im leavinggoodbye,clinc150_oos_train,1,0.9944636780658597,1,0.010182142395195048,1,True
im outta,clinc150_oos_train,1,0.9944636780658597,1,0.010182142395195048,1,True
im thankful,clinc150_oos_validation,1,0.9944636780658597,1,0.010182142395195048,1,True
would like set direct deposit please tell,clinc150_oos_train,1,0.9944522504206186,1,0.0093597028116581,1,True
robbie need know aboutthis would text robbie let know,clinc150_oos_validation,1,0.9943508577980534,1,0.008475619175142779,1,True
tell please paean mean,clinc150_oos_validation,1,0.9941990754305671,1,0.010182142395195048,1,True
would like know bill due,clinc150_oos_train,1,0.9938430769386188,1,0.010182142395195048,1,True
would like know long charge suppose last phone,clinc150_oos_test,1,0.9936668949339288,1,0.008674067518230744,1,True
would like know help,clinc150_oos_test,1,0.9936346441943418,1,0.010182142395195048,1,True
would like change name credit card account,clinc150_oos_test,1,0.9934931769557291,1,0.008066785281495015,1,True
please tell much money bank account,clinc150_oos_validation,1,0.9934483865085691,1,0.008975117175171687,1,True
need know long take get bank,clinc150_oos_validation,1,0.9932673018783461,1,0.007180310092037567,1,True
great western bank account want direct deposit go,clinc150_oos_train,1,0.9932357825627856,1,0.008975117175171687,1,True
would like know hobby,clinc150_oos_test,1,0.99322574263742,1,0.010182142395195048,1,True
tell subject like,clinc150_oos_test,1,0.9930844509463451,1,0.010182142395195048,1,True
like female voice switch please,clinc150_oos_test,1,0.9930496918926939,1,0.010182142395195048,1,True
would like put stop bank account,clinc150_oos_train,1,0.9930421319003829,1,0.008975117175171687,1,True
discontinue please,clinc150_oos_train,1,0.9929891683283802,1,0.010182142395195048,1,True
quieter please,clinc150_oos_test,1,0.9929891683283802,1,0.010182142395195048,1,True
please,clinc150_oos_test,1,0.9929891683283802,1,0.010182142395195048,1,True
need know angelos take reservation,clinc150_oos_train,1,0.9929782706343403,1,0.007180310092037567,1,True
need know much money bank account,clinc150_oos_validation,1,0.9929624165382605,1,0.007261561245007042,1,True
tell later call bill,clinc150_oos_test,1,0.9929285171855755,1,0.010182142395195048,1,True
know benihana reservation,clinc150_oos_train,1,0.9929023362160385,1,0.010182142395195048,1,True
ive three pet love animal want help im currently diet love going gym id like go school become veterinarian,persona_chat_train,1,0.9928748724468526,1,0.009178132631331826,1,True
please tell get new credit card,clinc150_oos_test,1,0.9928356467339079,1,0.00836440803365568,1,True
love animal want help would like go school become veterinarian im currently diet three pet love going gym,persona_chat_train,1,0.9928000145117957,1,0.010182142395195048,1,True
much moola bank account,clinc150_oos_test,1,0.9927909231763169,1,0.008975117175171687,1,True
would like know limit credit,clinc150_oos_validation,1,0.9927451256140071,1,0.010182142395195048,1,True
tell credit card visa expires please,clinc150_oos_validation,1,0.9927333188387268,1,0.009277538442218514,1,True
please tell ai,clinc150_oos_train,1,0.9927013720128225,1,0.010182142395195048,1,True
please tell kind gas car need,clinc150_oos_validation,1,0.9926758117950141,1,0.008475619175142779,1,True
id like go malaysia need visa,clinc150_oos_test,1,0.9926541446773264,1,0.0074657595669663235,1,True
want cook lasagna please tell long take,clinc150_oos_test,1,0.9926501364661321,1,0.008894336688214877,1,True
please tell list,clinc150_oos_validation,1,0.9926060506607356,1,0.010182142395195048,1,True
saving account would like know interest rate,clinc150_oos_test,1,0.9925873203457973,1,0.008975117175171687,1,True
ive new job like make cake like internet favorite music country im vegetarian,persona_chat_train,1,0.9924990697708959,1,0.009271823539081625,1,True
would like get new credt card,clinc150_oos_test,1,0.9924937640449415,1,0.00836440803365568,1,True
tell multiply two fraction,clinc150_oos_test,1,0.9923837879533878,1,0.010182142395195048,1,True
tell,clinc150_oos_validation,1,0.9922819913542387,1,0.010182142395195048,1,True
tell septuagenarian,clinc150_oos_validation,1,0.9922819913542387,1,0.010182142395195048,1,True
tell maker,clinc150_oos_test,1,0.9922819913542387,1,0.010182142395195048,1,True
tell aphrodite,clinc150_oos_test,1,0.9922819913542387,1,0.010182142395195048,1,True
turn card declined fry would like know,clinc150_oos_train,1,0.9922799042745499,1,0.008089176956247612,1,True
id like know bank balance please,clinc150_oos_train,1,0.992276550546752,1,0.009178132631331826,1,True
like eat tune like read book im librarian current job cat like read ive two cat,persona_chat_train,1,0.992242223480015,1,0.009276711905784274,1,True
would really like know go vacation,clinc150_oos_validation,1,0.9922342395489787,1,0.010182142395195048,1,True
would like know mpg car,clinc150_oos_validation,1,0.9922195694394239,1,0.010182142395195048,1,True
want travel new york would like rent car,clinc150_oos_train,1,0.9921875329043495,1,0.009271823539081625,1,True
point capital one card id like know many ive earned,clinc150_oos_test,1,0.9921605192683579,1,0.007156466855619215,1,True
would like know getting new credit card,clinc150_oos_validation,1,0.9921448828407249,1,0.00836440803365568,1,True
would like know name,clinc150_oos_test,1,0.9921001547454932,1,0.010182142395195048,1,True
please let know much gas bill,clinc150_oos_train,1,0.9920251728293756,1,0.010182142395195048,1,True
love going gym three pet love animal want help id like go school become veterinarian im currently diet,persona_chat_train,1,0.9920222493375438,1,0.009178132631331826,1,True
recently lost credit card need know long take get new one mailed,clinc150_oos_test,1,0.9920094024396294,1,0.004218926705031212,1,True
id like get soda im add shopping list,clinc150_oos_test,1,0.9919980584547174,1,0.009178132631331826,1,True
behind crooked cross rarely played live hanneman hate track though king always wanted play got cool intro despite favorite song king said fine speaking situation noting song want play always shoot ghost war king favorite song either attests everybody always want hear performed live confessed like ending know like big heavy part always say let put heavy ending end chemical warfare last half could never make fly,wikitext_train,1,0.9919946923429213,1,0.009073781391799929,1,True
credit limit account much,clinc150_oos_train,1,0.9919896977580306,1,0.008975117175171687,1,True
need know much gas got,clinc150_oos_train,1,0.9919611502392987,1,0.008475619175142779,1,True
many year need army get college tuition,clinc150_oos_test,1,0.9919465166647752,1,0.008475619175142779,1,True
would like get today date,clinc150_oos_validation,1,0.9919176257696469,1,0.010182142395195048,1,True
would like know credit limit citibank card,clinc150_oos_train,1,0.9919082797322482,1,0.009277538442218514,1,True
tell call,clinc150_oos_test,1,0.9918980884723541,1,0.010182142395195048,1,True
id like go school become veterinarian love animal want help love going gym ive three pet currently diet,persona_chat_train,1,0.9918766500187598,1,0.009178132631331826,1,True
one child autism work teacher love job im mother ive two dog like baby two child,persona_chat_train,1,0.991848790670919,1,0.008061863204775643,1,True
would like stop,clinc150_oos_train,1,0.9918435764311452,1,0.010182142395195048,1,True
would like know income,clinc150_oos_validation,1,0.9917819414067321,1,0.010182142395195048,1,True
whats bank account look like,clinc150_oos_test,1,0.9917816208451564,1,0.008975117175171687,1,True
favorite music country im vegetarian like internet ive new job like make cake,persona_chat_train,1,0.991746675137972,1,0.009271823539081625,1,True
please tell age,clinc150_oos_test,1,0.9917450876279487,1,0.00847481382413795,1,True
would like know kind gas car us,clinc150_oos_train,1,0.9917354182575636,1,0.010182142395195048,1,True
would like increase bank america credit limit help,clinc150_oos_train,1,0.9917329573969937,1,0.010182142395195048,1,True
would like unsync phone,clinc150_oos_test,1,0.9917253051908914,1,0.010182142395195048,1,True
like skateboarding ive blonde hair im high school favorite food pizza im female,persona_chat_train,1,0.9916668651735534,1,0.008574457522724455,1,True
im twenty five year old doberman favorite food pizza work truck im man,persona_chat_train,1,0.9916307744019068,1,0.009172415794555244,1,True
need know credit limit,clinc150_oos_validation,1,0.9915147169951837,1,0.008475619175142779,1,True
need know visa card credit limit,clinc150_oos_train,1,0.9915093599285268,1,0.007565744563970966,1,True
long flight,clinc150_oos_train,1,0.99150455958137,1,0.010182142395195048,1,True
would like language set spanish please,clinc150_oos_train,1,0.991465236580206,1,0.00814847544493591,1,True
