ProjectID,RequirementText,IsFunctional,IsQuality,Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),Other (OT),CleanedRequirementText
SYN-100,The carpooling platform shall maintain a minimum uptime of 99.9% measured on a rolling 30-day window excluding scheduled maintenance windows communicated at least 48 hours in advance.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,carpooling platform shall maintain minimum uptime NUM measured rolling NUM day window excluding scheduled maintenance window communicated least NUM hour advance
SYN-101,All authentication tokens issued by the restaurant delivery API shall be signed using AES-256 encryption and validated on every request through an OAuth 2.0 bearer token flow.,0,1,0,0,0,0,0,0,0,0,0,1,0,0,authentication token issued restaurant delivery api shall signed using aes NUM encryption validated every request oauth NUM bearer token flow
SYN-102,The automated data pipeline shall comply with GDPR Article 17 right-to-erasure obligations by purging all personal data within 72 hours of a verified deletion request.,0,1,0,0,1,0,0,0,0,0,0,0,0,0,automated data pipeline shall comply gdpr article NUM righttoerasure obligation purging personal data within NUM hour verified deletion request
SYN-103,The mobile driver application for the carpooling service shall render consistently on screens ranging from 4.7 inches to 12.9 inches and support both portrait and landscape orientations without layout breakage.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,mobile driver application carpooling service shall render consistently screen ranging NUM inch NUM inch support portrait landscape orientation without layout breakage
SYN-104,The restaurant delivery platform shall process a customer checkout request and return an order confirmation within 1.2 seconds at the 95th percentile under a load of 500 concurrent users.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,restaurant delivery platform shall process customer checkout request return order confirmation within NUM second NUM th percentile load NUM concurrent user
SYN-105,"The backend data pipeline shall be deployable as a Dockerized container image and shall run without modification on AWS ECS, Google Cloud Run, and Azure Container Instances.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,backend data pipeline shall deployable dockerized container image shall run without modification aws ec google cloud run azure container instance
SYN-106,The carpooling platform shall support horizontal scaling to accommodate a 10x surge in ride-matching requests during peak commuting hours without degradation of response times.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,carpooling platform shall support horizontal scaling accommodate NUM x surge ridematching request peak commuting hour without degradation response time
SYN-107,The system shall implement role-based access control (RBAC) so that restaurant managers can only view reports scoped to their own outlets and cannot access data belonging to other tenants.,0,1,0,0,0,0,0,0,0,0,0,1,0,0,system shall implement rolebased access control rbac restaurant manager view report scoped outlet access data belonging tenant
SYN-108,The customer-facing ordering web application shall achieve a Web Content Accessibility Guidelines (WCAG) 2.1 Level AA conformance rating so that users with visual impairments can complete an order without assistance.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,customerfacing ordering web application shall achieve web content accessibility guideline wcag NUM level aa conformance rating user visual impairment complete order without assistance
SYN-109,The data pipeline orchestration service shall record structured audit logs for every DAG run including start time end time exit code and operator-level error messages to facilitate post-incident analysis.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,data pipeline orchestration service shall record structured audit log every dag run including start time end time exit code operatorlevel error message facilitate postincident analysis
SYN-110,The carpooling service shall remain available for ride booking and tracking operations during partial backend failures by serving cached route data and queuing booking requests locally for up to 5 minutes.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,carpooling service shall remain available ride booking tracking operation partial backend failure serving cached route data queuing booking request locally NUM minute
SYN-111,The restaurant delivery platform shall be available to end customers 24 hours a day 7 days a week including public holidays with a maximum tolerated unplanned downtime of 4 hours per calendar month.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,restaurant delivery platform shall available end customer NUM hour day NUM day week including public holiday maximum tolerated unplanned downtime NUM hour per calendar month
SYN-112,The data pipeline shall comply with Pakistan's Personal Data Protection Bill requirements by ensuring all personally identifiable information is stored within data centers physically located within national borders to satisfy data sovereignty obligations.,0,1,0,0,1,0,0,0,0,0,0,0,0,0,data pipeline shall comply pakistan personal data protection bill requirement ensuring personally identifiable information stored within data center physically located within national border satisfy data sovereignty obligation
SYN-113,The iOS and Android driver applications shall share a single React Native codebase and be deployable to both platforms from a single CI/CD pipeline without platform-specific branching in the business logic layer.,0,1,0,0,0,0,0,0,0,1,0,0,0,0,io android driver application shall share single react native codebase deployable platform single cicd pipeline without platformspecific branching business logic layer
SYN-114,The onboarding flow for new restaurant partners shall be completable within 10 minutes by a user with no prior training with no step requiring more than 3 user interactions to advance.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,onboarding flow new restaurant partner shall completable within NUM minute user prior training step requiring NUM user interaction advance
SYN-115,The carpooling platform's source code shall adhere to modular monorepo conventions using clearly defined package boundaries so that a developer unfamiliar with the codebase can locate and patch a fare-calculation bug within 2 hours.,0,1,0,0,0,0,1,0,0,0,0,0,0,0,carpooling platform source code shall adhere modular monorepo convention using clearly defined package boundary developer unfamiliar codebase locate patch farecalculation bug within NUM hour
SYN-116,The automated data pipeline shall degrade gracefully when an upstream data source becomes unreachable by skipping the affected partition logging a structured warning and continuing to process all remaining partitions without operator intervention.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,automated data pipeline shall degrade gracefully upstream data source becomes unreachable skipping affected partition logging structured warning continuing process remaining partition without operator intervention
