RequirementText,IsOutlierRule,OutlierProbability,IsOutlierModel,IsOutlierFinal
'The system shall refresh the display every 60 seconds.',0,0.000962625207298889,0,0
'The application shall match the color of the schema set forth by Department of Homeland Security',0,0.15078649168495037,0,0
'If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30',0,0.010136087787474211,0,0
'The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.',0,0.0010252744794691509,0,0
'If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',0,0.034571862043714985,0,0
'The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts',0,0.0071113450680467104,0,0
'The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',0,2.4151992870993876e-05,0,0
'The product shall respond fast to keep up-to-date data in the display.',0,0.003726473050521545,0,0
'The system shall have a MDI form that allows for the viewing of the graph and the data table.',0,0.002101271776458581,0,0
'The system shall display Events in a vertical table by time.',0,0.008865585086013025,0,0
'The system shall display the Events in a graph by time.',0,0.0033436174262925053,0,0
'The system shall display Events or Activities.',0,0.000494542710464544,0,0
'The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table',0,0.036015301173699533,0,0
'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',0,0.39069481401384787,0,0
'The table side of the display shall be split into 2 regions: sequential and temporal.',0,0.02062109939067356,0,0
'The top 1/4 of the table will hold events that are to occur sequentially.',0,0.5419282137467701,1,1
'The bottom 3/4 of the table will hold events that occur according to its relevance to current time.',0,0.7588547544795698,1,1
'The system shall color code events according to their variance from current time.',0,0.005723789462912499,0,0
'The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications',0,0.003271040197977279,0,0
'The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.',0,0.020308771422448565,0,0
'The system shall allow modification of the display.',0,0.0015083280867244796,0,0
'The system shall offer a display of all the Events in the exercise.',0,0.006270329634456349,0,0
'The system shall filter data by: Venues and Key Events.',0,0.001238965176840226,0,0
'The system shall allow a user to define the time segments',0,0.0010598448002990843,0,0
'The system shall display the local and exercise time in separate clocks',0,0.014959161220573556,0,0
'The system shall offer the ability to pause and resume the refresh of data.',0,0.010577342670457936,0,0
'The system shall provide charts for the Activity or Event actual versus assumed time.',0,0.00871541566947877,0,0
'The system shall provide a history report of changes made to the Activity or Event data',0,0.001390680532473704,0,0
'The look and feel of the system shall conform to the user interface standards of the smart device.',0,0.005838286433126859,0,0
'The user interface shall have standard menus buttons for navigation',0,0.0064575729721972255,0,0
'The system shall have a professional appearance',0,0.0012194209073966061,0,0
'The product shall have a consistent color scheme and fonts.',0,0.001926404008808076,0,0
'The system shall be used by realtors with no training.',0,0.004407827732833228,0,0
'The system shall be intuitive and self explanatory.',0,0.002003319692376065,0,0
'The product shall be easy for a realtor to learn.',0,0.0024746966567061757,0,0
'The product shall use symbols and words that are naturally understandable by the realtor community.',0,0.013082365485050831,0,0
'The product shall produce search results in an acceptable time',0,0.0064954945433412185,0,0
'The search results shall be returned no later 30 seconds after the user has entered the search criteria',0,0.029183739261267643,0,0
'The product shall generate a CMA report in an acceptable time.',0,0.020884357968137365,0,0
'The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.',0,0.140108360575848,0,0
'The product shall synchronize contacts and appointments in an acceptable time.',0,0.0029384901504665895,0,0
'The product shall synchronize with the office system every hour.',0,5.6253222832428865e-05,0,0
'The product shall be available for use 24 hours per day 365 days per year',0,0.0023833837471906876,0,0
'Out of 1000 accesses to the system the system is available 999 times.',0,0.06289759919944148,0,0
'The product shall operate in offline mode whenever internet connection is unavailable.',0,0.03430930958105378,0,0
'The product shall allow the user to view previously downloaded search results CMA reports and appointments.',0,0.0008120347235925008,0,0
'The product shall retain user preferences in the event of a failure.',0,0.0014002619180923275,0,0
'100% of saved user preferences shall be restored when system comes back online.',0,0.0035802293529418284,0,0
'The product shall be able to support multiple remote users',0,0.000958164681933476,0,0
