ProjectID,RequirementText,IsFunctional,IsQuality,Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),Other (OT)
SYN-100,The carpooling platform shall maintain a minimum uptime of 99.9% measured on a rolling 30-day window excluding scheduled maintenance windows communicated at least 48 hours in advance.,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SYN-101,All authentication tokens issued by the restaurant delivery API shall be signed using AES-256 encryption and validated on every request through an OAuth 2.0 bearer token flow.,0,1,0,0,0,0,0,0,0,0,0,1,0,0
SYN-102,The automated data pipeline shall comply with GDPR Article 17 right-to-erasure obligations by purging all personal data within 72 hours of a verified deletion request.,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SYN-103,The mobile driver application for the carpooling service shall render consistently on screens ranging from 4.7 inches to 12.9 inches and support both portrait and landscape orientations without layout breakage.,0,1,0,0,0,1,0,0,0,0,0,0,0,0
SYN-104,The restaurant delivery platform shall process a customer checkout request and return an order confirmation within 1.2 seconds at the 95th percentile under a load of 500 concurrent users.,0,1,0,0,0,0,0,0,1,0,0,0,0,0
SYN-105,"The backend data pipeline shall be deployable as a Dockerized container image and shall run without modification on AWS ECS, Google Cloud Run, and Azure Container Instances.",0,1,0,0,0,0,0,0,0,1,0,0,0,0
SYN-106,The carpooling platform shall support horizontal scaling to accommodate a 10x surge in ride-matching requests during peak commuting hours without degradation of response times.,0,1,0,0,0,0,0,0,0,0,1,0,0,0
SYN-107,The system shall implement role-based access control (RBAC) so that restaurant managers can only view reports scoped to their own outlets and cannot access data belonging to other tenants.,0,1,0,0,0,0,0,0,0,0,0,1,0,0
SYN-108,The customer-facing ordering web application shall achieve a Web Content Accessibility Guidelines (WCAG) 2.1 Level AA conformance rating so that users with visual impairments can complete an order without assistance.,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SYN-109,The data pipeline orchestration service shall record structured audit logs for every DAG run including start time end time exit code and operator-level error messages to facilitate post-incident analysis.,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SYN-110,The carpooling service shall remain available for ride booking and tracking operations during partial backend failures by serving cached route data and queuing booking requests locally for up to 5 minutes.,0,1,0,1,0,0,0,0,0,0,0,0,0,0
SYN-111,The restaurant delivery platform shall be available to end customers 24 hours a day 7 days a week including public holidays with a maximum tolerated unplanned downtime of 4 hours per calendar month.,0,1,1,0,0,0,0,0,0,0,0,0,0,0
