ProjectID,RequirementText,IsFunctional,IsQuality,Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),Other (OT),CleanedRequirementText
1,'The system shall refresh the display every 60 seconds.',1,1,0,0,0,0,0,0,1,0,0,0,0,0,system shall refresh display every NUM second
1,'The application shall match the color of the schema set forth by Department of Homeland Security',0,1,0,0,1,1,0,0,0,0,0,0,0,0,application shall match color schema set forth department homeland security
1,'If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30',0,1,0,0,0,1,0,0,0,0,0,0,1,0,projected data must readable NUM x NUM projection screen NUM viewer must able read event activity data viewing distance NUM
1,'The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.',0,1,1,0,0,0,0,0,0,0,0,0,0,0,product shall available normal business hour long user access client pc system available NUM time first six month operation
1,'If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',0,1,0,0,0,1,0,0,0,0,0,0,1,0,projected data must understandable NUM x NUM projection screen NUM viewer must able determine event activity occuring current time viewing distance NUM
1,'The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts',1,1,0,0,0,0,0,0,0,0,0,1,0,0,product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt
1,'The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',0,1,0,0,0,0,0,0,0,0,0,0,1,0,product shall intuitive selfexplanatory NUM new user shall able start display event activity within NUM minute using product
1,'The product shall respond fast to keep up-to-date data in the display.',0,1,0,0,0,0,0,0,1,0,0,0,0,0,product shall respond fast keep uptodate data display
1,'The system shall have a MDI form that allows for the viewing of the graph and the data table.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall mdi form allows viewing graph data table
1,'The system shall display Events in a vertical table by time.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall display event vertical table time
1,'The system shall display the Events in a graph by time.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall display event graph time
1,'The system shall display Events or Activities.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall display event activity
1,'The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table',0,1,0,0,0,1,0,0,0,0,0,0,0,0,display shall two region left NUM display graphical right NUM display data table
1,'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',0,0,0,0,0,0,0,0,0,0,0,0,0,0,data displayed node within graph row table msel summary data
1,'The table side of the display shall be split into 2 regions: sequential and temporal.',0,1,0,0,0,1,0,0,0,0,0,0,0,0,table side display shall split NUM region sequential temporal
1,'The top 1/4 of the table will hold events that are to occur sequentially.',1,1,0,0,0,1,0,0,0,0,0,0,0,0,top NUM table hold event occur sequentially
1,'The bottom 3/4 of the table will hold events that occur according to its relevance to current time.',1,1,0,0,0,1,0,0,0,0,0,0,0,0,bottom NUM table hold event occur according relevance current time
1,'The system shall color code events according to their variance from current time.',1,1,0,0,0,1,0,0,0,0,0,0,0,0,system shall color code event according variance current time
