ProjectID,RequirementText,IsFunctional,IsQuality,Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),Other (OT),CleanedRequirementText,IsOutlierRule,OutlierProbability,IsOutlierModel,IsOutlierFinal
1,'The system shall refresh the display every 60 seconds.',1,1,0,0,0,0,0,0,1,0,0,0,0,0,system shall refresh display every NUM second,0,0.000962625207298889,0,0
1,'The application shall match the color of the schema set forth by Department of Homeland Security',0,1,0,0,1,1,0,0,0,0,0,0,0,0,application shall match color schema set forth department homeland security,0,0.15078649168495037,0,0
1,'If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30',0,1,0,0,0,1,0,0,0,0,0,0,1,0,projected data must readable NUM x NUM projection screen NUM viewer must able read event activity data viewing distance NUM,0,0.010136087787474211,0,0
1,'The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.',0,1,1,0,0,0,0,0,0,0,0,0,0,0,product shall available normal business hour long user access client pc system available NUM time first six month operation,0,0.0010252744794691509,0,0
1,'If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',0,1,0,0,0,1,0,0,0,0,0,0,1,0,projected data must understandable NUM x NUM projection screen NUM viewer must able determine event activity occuring current time viewing distance NUM,0,0.034571862043714985,0,0
1,'The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts',1,1,0,0,0,0,0,0,0,0,0,1,0,0,product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt,0,0.0071113450680467104,0,0
1,'The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',0,1,0,0,0,0,0,0,0,0,0,0,1,0,product shall intuitive selfexplanatory NUM new user shall able start display event activity within NUM minute using product,0,2.4151992870993876e-05,0,0
1,'The product shall respond fast to keep up-to-date data in the display.',0,1,0,0,0,0,0,0,1,0,0,0,0,0,product shall respond fast keep uptodate data display,0,0.003726473050521545,0,0
1,'The system shall have a MDI form that allows for the viewing of the graph and the data table.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall mdi form allows viewing graph data table,0,0.002101271776458581,0,0
1,'The system shall display Events in a vertical table by time.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall display event vertical table time,0,0.008865585086013025,0,0
1,'The system shall display the Events in a graph by time.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall display event graph time,0,0.0033436174262925053,0,0
1,'The system shall display Events or Activities.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall display event activity,0,0.000494542710464544,0,0
1,'The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table',0,1,0,0,0,1,0,0,0,0,0,0,0,0,display shall two region left NUM display graphical right NUM display data table,0,0.036015301173699533,0,0
1,'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',0,0,0,0,0,0,0,0,0,0,0,0,0,0,data displayed node within graph row table msel summary data,0,0.39069481401384787,0,0
1,'The table side of the display shall be split into 2 regions: sequential and temporal.',0,1,0,0,0,1,0,0,0,0,0,0,0,0,table side display shall split NUM region sequential temporal,0,0.02062109939067356,0,0
1,'The system shall color code events according to their variance from current time.',1,1,0,0,0,1,0,0,0,0,0,0,0,0,system shall color code event according variance current time,0,0.005723789462912499,0,0
1,'The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications',1,1,0,0,0,1,0,0,0,0,0,0,0,0,system shall display data sync matrix NUM exercise management tool NUM application,0,0.003271040197977279,0,0
1,'The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.',1,1,0,0,0,0,1,0,0,1,0,0,0,0,system shall link event back either sync matrix NUM exercise managment tool NUM application modification,0,0.020308771422448565,0,0
1,'The system shall allow modification of the display.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall allow modification display,0,0.0015083280867244796,0,0
1,'The system shall offer a display of all the Events in the exercise.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall offer display event exercise,0,0.006270329634456349,0,0
1,'The system shall filter data by: Venues and Key Events.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall filter data venue key event,0,0.001238965176840226,0,0
1,'The system shall allow a user to define the time segments',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall allow user define time segment,0,0.0010598448002990843,0,0
1,'The system shall display the local and exercise time in separate clocks',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall display local exercise time separate clock,0,0.014959161220573556,0,0
1,'The system shall offer the ability to pause and resume the refresh of data.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall offer ability pause resume refresh data,0,0.010577342670457936,0,0
1,'The system shall provide charts for the Activity or Event actual versus assumed time.',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall provide chart activity event actual versus assumed time,0,0.00871541566947877,0,0
1,'The system shall provide a history report of changes made to the Activity or Event data',1,0,0,0,0,0,0,0,0,0,0,0,0,0,system shall provide history report change made activity event data,0,0.001390680532473704,0,0
2,'The look and feel of the system shall conform to the user interface standards of the smart device.',0,1,0,0,0,1,0,0,0,0,0,0,0,0,look feel system shall conform user interface standard smart device,0,0.005838286433126859,0,0
2,'The user interface shall have standard menus buttons for navigation',0,1,0,0,0,1,0,0,0,0,0,0,0,0,user interface shall standard menu button navigation,0,0.0064575729721972255,0,0
2,'The system shall have a professional appearance',0,1,0,0,0,1,0,0,0,0,0,0,0,0,system shall professional appearance,0,0.0012194209073966061,0,0
2,'The product shall have a consistent color scheme and fonts.',0,1,0,0,0,1,0,0,0,0,0,0,0,0,product shall consistent color scheme font,0,0.001926404008808076,0,0
2,'The system shall be used by realtors with no training.',0,1,0,0,0,0,0,0,0,0,0,0,1,0,system shall used realtor training,0,0.004407827732833228,0,0
2,'The system shall be intuitive and self explanatory.',0,1,0,0,0,0,0,0,0,0,0,0,1,0,system shall intuitive self explanatory,0,0.002003319692376065,0,0
2,'The product shall be easy for a realtor to learn.',0,1,0,0,0,0,0,0,0,0,0,0,1,0,product shall easy realtor learn,0,0.0024746966567061757,0,0
2,'The product shall use symbols and words that are naturally understandable by the realtor community.',0,1,0,0,0,1,0,0,0,0,0,0,1,0,product shall use symbol word naturally understandable realtor community,0,0.013082365485050831,0,0
2,'The product shall produce search results in an acceptable time',1,1,0,0,0,0,0,0,1,0,0,0,0,0,product shall produce search result acceptable time,0,0.0064954945433412185,0,0
